Chunk_size,Chunk_Overlap,Time,Story Number,Question Number,EM,Precision,Recall,F1
pairwise,"[1, 2]",213.27756595611572,12,1,0,0,0,0
pairwise,"[1, 2]",213.31182980537415,12,2,0,0,0,0
pairwise,"[1, 2]",213.35097694396973,12,3,0,0,0,0
pairwise,"[1, 2]",213.3842318058014,12,4,0,0,0,0
pairwise,"[1, 2]",213.41804385185242,12,5,0,0,0,0
pairwise,"[1, 2]",213.45434188842773,12,6,0,0,0,0
pairwise,"[1, 2]",213.4904477596283,12,7,0,0,0,0
pairwise,"[1, 2]",213.763986825943,13,2,0,0,0,0
pairwise,"[1, 2]",213.79807591438293,13,3,0,0,0,0
pairwise,"[1, 2]",213.82807779312134,13,4,0,0,0,0
pairwise,"[1, 2]",213.8649070262909,13,6,0,0,0,0
pairwise,"[1, 2]",213.9021828174591,13,7,0,0,0,0
pairwise,"[1, 2]",213.93779683113098,13,8,0,0,0,0
pairwise,"[1, 2]",214.21561765670776,14,0,0,0,0,0
pairwise,"[1, 2]",230.95602774620056,14,1,0,0,0,0
pairwise,"[1, 2]",230.98908686637878,14,2,0,0,0,0
pairwise,"[1, 2]",247.64402198791504,14,3,0,0,0,0
pairwise,"[1, 2]",247.6750419139862,14,4,0,0,0,0
pairwise,"[1, 2]",247.71675896644592,14,5,0,0,0,0
pairwise,"[1, 2]",247.75511384010315,14,7,0,0,0,0
pairwise,"[1, 2]",248.0206217765808,15,0,0,0,0,0
pairwise,"[1, 2]",265.956946849823,15,3,0,0,0,0
pairwise,"[1, 2]",265.99023485183716,15,4,0,0,0,0
pairwise,"[1, 2]",266.0241746902466,15,5,0,0,0,0
pairwise,"[1, 2]",266.1439917087555,16,1,0,0,0,0
pairwise,"[1, 2]",266.18327593803406,16,2,0,0,0,0
pairwise,"[1, 2]",284.68266701698303,16,3,0,0,0,0
pairwise,"[1, 2]",284.7115647792816,16,4,0,0,0,0
pairwise,"[1, 2]",285.1158709526062,17,0,0,0,0,0
pairwise,"[1, 2]",285.1622648239136,17,1,0,0,0,0
pairwise,"[1, 2]",285.2049627304077,17,2,0,0,0,0
pairwise,"[1, 2]",285.24666690826416,17,4,0,0,0,0
pairwise,"[1, 2]",285.2876899242401,17,5,0,0,0,0
pairwise,"[1, 2]",285.3270547389984,17,7,0,0,0,0
pairwise,"[1, 2]",285.3665568828583,17,8,0,0,0,0
pairwise,"[1, 2]",285.46626567840576,18,0,0,0,0,0
pairwise,"[1, 2]",285.50496888160706,18,5,0,0,0,0
pairwise,"[1, 2]",285.5392687320709,18,6,0,0,0,0
pairwise,"[1, 2]",285.57440876960754,18,7,0,0,0,0
pairwise,"[1, 2]",285.6110966205597,18,8,0,0,0,0
pairwise,"[1, 2]",285.7478346824646,19,4,0,0,0,0
pairwise,"[1, 2]",285.77543592453003,19,5,0,0,0,0
pairwise,"[1, 2]",285.8166489601135,19,6,0,0,0,0
pairwise,"[1, 2]",285.8523209095001,19,7,0,0,0,0
pairwise,"[1, 2]",285.8901870250702,19,8,0,0,0,0
pairwise,"[1, 2]",285.9842417240143,20,0,0,0,0,0
pairwise,"[1, 2]",302.3352777957916,20,1,0,0,0,0
pairwise,"[1, 2]",302.3645098209381,20,2,0,0,0,0
pairwise,"[1, 2]",302.40405774116516,20,4,0,0,0,0
pairwise,"[1, 2]",302.4442286491394,20,7,0,0,0,0
pairwise,"[1, 2]",302.599497795105,21,0,0,0,0,0
pairwise,"[1, 2]",302.63916969299316,21,1,0,0,0,0
pairwise,"[1, 2]",302.671777009964,21,2,0,0,0,0
pairwise,"[1, 2]",302.7065668106079,21,3,0,0,0,0
pairwise,"[1, 2]",302.7442808151245,21,4,0,0,0,0
pairwise,"[1, 2]",317.51909279823303,21,5,0,0,0,0
pairwise,"[1, 2]",335.51583981513977,21,8,0,0,0,0
pairwise,"[1, 2]",335.6675968170166,22,4,0,0,0,0
pairwise,"[1, 2]",335.7065999507904,22,6,0,0,0,0
pairwise,"[1, 2]",335.75133180618286,22,8,0,0,0,0
pairwise,"[1, 2]",335.9134199619293,23,1,0,0,0,0
pairwise,"[1, 2]",335.9534888267517,23,2,0,0,0,0
pairwise,"[1, 2]",336.00251173973083,23,4,0,0,0,0
pairwise,"[1, 2]",336.0395886898041,23,6,0,0,0,0
pairwise,"[1, 2]",336.08186173439026,23,7,0,0,0,0
pairwise,"[1, 2]",336.12183380126953,23,8,0,0,0,0
pairwise,"[1, 2]",336.3433589935303,24,1,0,0,0,0
pairwise,"[1, 2]",336.37044978141785,24,3,0,0,0,0
pairwise,"[1, 2]",354.0638687610626,24,5,1,1.0,1.0,1.0
pairwise,"[1, 2]",354.09411883354187,24,6,0,0,0,0
pairwise,"[1, 2]",354.12794065475464,24,7,0,0,0,0
pairwise,"[1, 2]",354.15651082992554,24,9,0,0,0,0
pairwise,"[1, 2]",370.2357847690582,24,10,0,0.6666666666666666,1.0,0.8
pairwise,"[1, 2]",370.54357504844666,25,1,0,0,0,0
pairwise,"[1, 2]",370.5735778808594,25,2,0,0,0,0
pairwise,"[1, 2]",370.6126148700714,25,3,0,0,0,0
pairwise,"[1, 2]",370.6682827472687,25,5,0,0,0,0
pairwise,"[1, 2]",370.711238861084,25,6,0,0,0,0
pairwise,"[1, 2]",370.7508087158203,25,7,0,0,0,0
pairwise,"[1, 2]",370.79500579833984,25,8,0,0,0,0
pairwise,"[1, 2]",370.9680440425873,26,1,0,0,0,0
pairwise,"[1, 2]",371.010027885437,26,2,0,0,0,0
pairwise,"[1, 2]",371.0478096008301,26,3,0,0,0,0
pairwise,"[1, 2]",371.0858018398285,26,4,0,0,0,0
pairwise,"[1, 2]",371.1222257614136,26,5,0,0,0,0
pairwise,"[1, 2]",371.16985177993774,26,7,0,0,0,0
pairwise,"[1, 2]",371.20650482177734,26,8,0,0,0,0
pairwise,"[1, 2]",371.5118737220764,27,6,0,0,0,0
pairwise,"[1, 2]",371.75700092315674,28,0,0,0,0,0
pairwise,"[1, 2]",389.66449189186096,28,2,0,0,0,0
pairwise,"[1, 2]",407.2283537387848,28,3,0,0,0,0
pairwise,"[1, 2]",407.25648260116577,28,4,0,0,0,0
pairwise,"[1, 2]",407.29032588005066,28,5,0,0,0,0
pairwise,"[1, 2]",407.33085799217224,28,7,0,0,0,0
pairwise,"[1, 2]",407.3739218711853,28,8,0,0,0,0
pairwise,"[1, 2]",407.40705370903015,28,9,0,0,0,0
pairwise,"[1, 2]",407.4345369338989,28,11,0,0,0,0
pairwise,"[1, 2]",407.47312092781067,28,12,0,0,0,0
pairwise,"[1, 2]",407.52491188049316,28,15,0,0,0,0
pairwise,"[1, 2]",407.5649747848511,28,17,0,0,0,0
pairwise,"[1, 2]",407.6080198287964,28,19,0,0,0,0
pairwise,"[1, 2]",407.6481866836548,28,20,0,0,0,0
pairwise,"[1, 2]",407.6899468898773,28,24,0,0,0,0
pairwise,"[1, 2]",407.72968077659607,28,25,0,0,0,0
pairwise,"[1, 2]",424.2423286437988,29,0,1,1.0,1.0,1.0
pairwise,"[1, 2]",424.2724390029907,29,1,0,0,0,0
pairwise,"[1, 2]",424.3524737358093,29,7,0,0,0,0
pairwise,"[1, 2]",424.5043828487396,30,1,0,0,0,0
pairwise,"[1, 2]",424.5534927845001,30,4,0,0,0,0
pairwise,"[1, 2]",424.5910038948059,30,6,0,0,0,0
pairwise,"[1, 2]",424.62999081611633,30,7,0,0,0,0
pairwise,"[1, 2]",424.7967526912689,31,3,0,0,0,0
pairwise,"[1, 2]",424.82228565216064,31,7,0,0,0,0
pairwise,"[1, 2]",424.8716547489166,31,9,0,0,0,0
pairwise,"[1, 2]",425.11538672447205,32,0,0,0,0,0
pairwise,"[1, 2]",425.1525318622589,32,1,0,0,0,0
pairwise,"[1, 2]",425.18537068367004,32,3,0,0,0,0
pairwise,"[1, 2]",425.2243609428406,32,5,0,0,0,0
pairwise,"[1, 2]",425.2604558467865,32,6,0,0,0,0
pairwise,"[1, 2]",425.2965519428253,32,7,0,0,0,0
pairwise,"[1, 2]",425.3313548564911,32,9,0,0,0,0
pairwise,"[1, 2]",425.37364768981934,32,11,0,0,0,0
pairwise,"[1, 2]",425.6515278816223,33,0,0,0,0,0
pairwise,"[1, 2]",425.6922297477722,33,2,0,0,0,0
pairwise,"[1, 2]",425.73104977607727,33,3,0,0,0,0
pairwise,"[1, 2]",425.7663838863373,33,4,0,0,0,0
pairwise,"[1, 2]",425.8061988353729,33,5,0,0,0,0
pairwise,"[1, 2]",425.84770679473877,33,7,0,0,0,0
pairwise,"[1, 2]",425.99140667915344,34,0,0,0,0,0
pairwise,"[1, 2]",444.440194606781,34,2,0,0,0,0
pairwise,"[1, 2]",444.4831097126007,34,7,0,0,0,0
pairwise,"[1, 2]",444.7668888568878,35,0,0,0,0,0
pairwise,"[1, 2]",444.7959408760071,35,1,0,0,0,0
pairwise,"[1, 2]",444.8353509902954,35,2,0,0,0,0
pairwise,"[1, 2]",444.87598180770874,35,3,0,0,0,0
pairwise,"[1, 2]",444.9195787906647,35,5,0,0,0,0
pairwise,"[1, 2]",444.9649498462677,35,6,0,0,0,0
pairwise,"[1, 2]",445.00234389305115,35,7,0,0,0,0
pairwise,"[1, 2]",445.04235577583313,35,8,0,0,0,0
pairwise,"[1, 2]",445.1765978336334,36,0,0,0,0,0
pairwise,"[1, 2]",445.21722388267517,36,1,0,0,0,0
pairwise,"[1, 2]",445.2544445991516,36,3,0,0,0,0
pairwise,"[1, 2]",445.29399490356445,36,4,0,0,0,0
pairwise,"[1, 2]",445.3409128189087,36,8,0,0,0,0
pairwise,"[1, 2]",462.9359459877014,36,10,0,0.34782608695652173,1.0,0.5161290322580645
pairwise,"[1, 2]",462.9652557373047,36,12,0,0,0,0
pairwise,"[1, 2]",463.0199067592621,36,16,0,0,0,0
pairwise,"[1, 2]",463.0572578907013,36,19,0,0,0,0
pairwise,"[1, 2]",463.11421370506287,36,22,0,0,0,0
pairwise,"[1, 2]",463.154483795166,36,23,0,0,0,0
pairwise,"[1, 2]",479.39961290359497,36,24,0,0,0,0
pairwise,"[1, 2]",479.5611608028412,37,1,0,0,0,0
pairwise,"[1, 2]",479.5880627632141,37,2,0,0,0,0
pairwise,"[1, 2]",479.62849259376526,37,3,0,0,0,0
pairwise,"[1, 2]",496.69916582107544,37,4,0,0,0,0
pairwise,"[1, 2]",496.77912878990173,37,5,0,0,0,0
pairwise,"[1, 2]",496.824982881546,37,6,0,0,0,0
pairwise,"[1, 2]",496.8566646575928,37,8,0,0,0,0
pairwise,"[1, 2]",497.10608983039856,38,0,0,0,0,0
pairwise,"[1, 2]",497.1528787612915,38,3,0,0,0,0
pairwise,"[1, 2]",497.1897819042206,38,4,0,0,0,0
pairwise,"[1, 2]",514.7918317317963,38,5,0,0.07692307692307693,0.09090909090909091,0.08333333333333334
pairwise,"[1, 2]",514.8232538700104,38,6,0,0,0,0
pairwise,"[1, 2]",514.879763841629,38,8,0,0,0,0
pairwise,"[1, 2]",515.0229797363281,39,1,0,0,0,0
pairwise,"[1, 2]",515.0667958259583,39,2,0,0,0,0
pairwise,"[1, 2]",515.1196217536926,39,4,0,0,0,0
pairwise,"[1, 2]",515.1666328907013,39,6,0,0,0,0
pairwise,"[1, 2]",515.2182776927948,39,7,0,0,0,0
pairwise,"[1, 2]",515.2623159885406,39,8,0,0,0,0
pairwise,"[1, 2]",515.41747879982,40,0,0,0,0,0
pairwise,"[1, 2]",515.4638957977295,40,1,0,0,0,0
pairwise,"[1, 2]",515.5110247135162,40,2,0,0,0,0
pairwise,"[1, 2]",515.5472228527069,40,3,0,0,0,0
pairwise,"[1, 2]",515.5802056789398,40,4,0,0,0,0
pairwise,"[1, 2]",515.6168766021729,40,6,0,0,0,0
pairwise,"[1, 2]",515.6532368659973,40,8,0,0,0,0
pairwise,"[1, 2]",515.9698979854584,41,3,0,0,0,0
pairwise,"[1, 2]",516.0000667572021,41,5,0,0,0,0
pairwise,"[1, 2]",516.0405356884003,41,6,0,0,0,0
pairwise,"[1, 2]",516.0800087451935,41,7,0,0,0,0
pairwise,"[1, 2]",516.2338616847992,42,0,0,0,0,0
pairwise,"[1, 2]",516.2694997787476,42,1,0,0,0,0
pairwise,"[1, 2]",516.3137698173523,42,3,0,0,0,0
pairwise,"[1, 2]",516.3531630039215,42,5,0,0,0,0
pairwise,"[1, 2]",516.3943948745728,42,6,0,0,0,0
pairwise,"[1, 2]",516.4346058368683,42,7,0,0,0,0
pairwise,"[1, 2]",516.4742949008942,42,8,0,0,0,0
pairwise,"[1, 2]",516.5110518932343,42,9,0,0,0,0
pairwise,"[1, 2]",516.5448718070984,42,10,0,0,0,0
pairwise,"[1, 2]",516.5788948535919,42,11,0,0,0,0
pairwise,"[1, 2]",516.738915681839,43,0,0,0,0,0
pairwise,"[1, 2]",516.7899219989777,43,2,0,0,0,0
pairwise,"[1, 2]",516.8262059688568,43,3,0,0,0,0
pairwise,"[1, 2]",516.8714098930359,43,5,0,0,0,0
pairwise,"[1, 2]",517.0235388278961,44,0,0,0,0,0
pairwise,"[1, 2]",517.0510499477386,44,2,0,0,0,0
pairwise,"[1, 2]",517.1018056869507,44,4,0,0,0,0
pairwise,"[1, 2]",517.136736869812,44,5,0,0,0,0
pairwise,"[1, 2]",517.1721398830414,44,6,0,0,0,0
pairwise,"[1, 2]",517.206583738327,44,7,0,0,0,0
pairwise,"[1, 2]",533.5461559295654,45,1,0,0,0,0
pairwise,"[1, 2]",533.5765128135681,45,3,0,0,0,0
pairwise,"[1, 2]",533.6101717948914,45,4,0,0,0,0
pairwise,"[1, 2]",533.6472759246826,45,8,0,0,0,0
pairwise,"[1, 2]",533.8278217315674,46,0,0,0,0,0
pairwise,"[1, 2]",533.8653979301453,46,3,0,0,0,0
pairwise,"[1, 2]",533.9000818729401,46,4,0,0,0,0
pairwise,"[1, 2]",533.9471278190613,46,6,0,0,0,0
pairwise,"[1, 2]",533.9864299297333,46,7,0,0,0,0
pairwise,"[1, 2]",534.1296877861023,47,1,0,0,0,0
pairwise,"[1, 2]",534.1697626113892,47,2,0,0,0,0
pairwise,"[1, 2]",534.2098460197449,47,3,0,0,0,0
pairwise,"[1, 2]",534.2463009357452,47,8,0,0,0,0
pairwise,"[1, 2]",534.2806236743927,47,9,0,0,0,0
pairwise,"[1, 2]",534.3086977005005,47,10,0,0,0,0
pairwise,"[1, 2]",534.4418168067932,48,0,0,0,0,0
pairwise,"[1, 2]",534.4758739471436,48,1,0,0,0,0
pairwise,"[1, 2]",534.5095348358154,48,2,0,0,0,0
pairwise,"[1, 2]",534.5465478897095,48,3,0,0,0,0
pairwise,"[1, 2]",534.5783197879791,48,4,0,0,0,0
pairwise,"[1, 2]",534.6085028648376,48,5,0,0,0,0
pairwise,"[1, 2]",534.638662815094,48,6,0,0,0,0
pairwise,"[1, 2]",534.6705646514893,48,7,0,0,0,0
pairwise,"[1, 2]",534.8075499534607,49,1,0,0,0,0
pairwise,"[1, 2]",534.8436727523804,49,2,0,0,0,0
pairwise,"[1, 2]",534.8815698623657,49,3,0,0,0,0
pairwise,"[1, 2]",552.8581728935242,49,4,0,0.3333333333333333,1.0,0.5
pairwise,"[1, 2]",552.9089388847351,49,7,0,0,0,0
pairwise,"[1, 2]",553.1607007980347,50,2,0,0,0,0
pairwise,"[1, 2]",553.2028479576111,50,6,0,0,0,0
pairwise,"[1, 2]",553.6182217597961,51,1,0,0,0,0
pairwise,"[1, 2]",553.6644458770752,51,3,0,0,0,0
pairwise,"[1, 2]",553.6973388195038,51,4,0,0,0,0
pairwise,"[1, 2]",553.7327270507812,51,5,0,0,0,0
pairwise,"[1, 2]",553.7672848701477,51,6,0,0,0,0
pairwise,"[1, 2]",553.940664768219,51,7,0,0,0,0
pairwise,"[1, 2]",554.3132500648499,52,2,0,0,0,0
pairwise,"[1, 2]",554.3484947681427,52,3,0,0,0,0
pairwise,"[1, 2]",554.4022128582001,52,4,0,0,0,0
pairwise,"[1, 2]",554.4399869441986,52,6,0,0,0,0
pairwise,"[1, 2]",554.5707597732544,53,1,0,0,0,0
pairwise,"[1, 2]",554.6109099388123,53,4,0,0,0,0
pairwise,"[1, 2]",554.6503176689148,53,6,0,0,0,0
pairwise,"[1, 2]",554.688637971878,53,9,0,0,0,0
pairwise,"[1, 2]",554.7265269756317,53,10,0,0,0,0
pairwise,"[1, 2]",554.7681829929352,53,11,0,0,0,0
pairwise,"[1, 2]",554.9375479221344,54,0,0,0,0,0
pairwise,"[1, 2]",554.965735912323,54,5,0,0,0,0
pairwise,"[1, 2]",555.1502766609192,55,0,0,0,0,0
pairwise,"[1, 2]",573.8412716388702,55,1,0,0,0,0
pairwise,"[1, 2]",573.8709309101105,55,7,0,0,0,0
pairwise,"[1, 2]",574.0849277973175,56,0,0,0,0,0
pairwise,"[1, 2]",574.1227767467499,56,1,0,0,0,0
pairwise,"[1, 2]",574.1576998233795,56,4,0,0,0,0
pairwise,"[1, 2]",574.1913669109344,56,5,0,0,0,0
pairwise,"[1, 2]",574.2319228649139,56,6,0,0,0,0
pairwise,"[1, 2]",574.2625567913055,56,8,0,0,0,0
pairwise,"[1, 2]",574.3796808719635,57,1,0,0,0,0
pairwise,"[1, 2]",592.3709907531738,57,2,1,1.0,1.0,1.0
pairwise,"[1, 2]",592.4117350578308,57,4,0,0,0,0
pairwise,"[1, 2]",592.4438426494598,57,5,0,0,0,0
pairwise,"[1, 2]",609.8840529918671,57,7,0,0,0,0
pairwise,"[1, 2]",609.9138669967651,57,8,0,0,0,0
pairwise,"[1, 2]",623.6748838424683,58,0,1,1.0,1.0,1.0
pairwise,"[1, 2]",623.7073049545288,58,1,0,0,0,0
pairwise,"[1, 2]",623.7476778030396,58,2,0,0,0,0
pairwise,"[1, 2]",623.7807788848877,58,5,0,0,0,0
pairwise,"[1, 2]",623.8245587348938,58,9,0,0,0,0
pairwise,"[1, 2]",623.8646709918976,58,10,0,0,0,0
pairwise,"[1, 2]",624.0732836723328,59,0,0,0,0,0
pairwise,"[1, 2]",624.1070377826691,59,1,0,0,0,0
pairwise,"[1, 2]",624.1383159160614,59,2,0,0,0,0
pairwise,"[1, 2]",624.1784677505493,59,3,0,0,0,0
pairwise,"[1, 2]",624.2157139778137,59,4,0,0,0,0
pairwise,"[1, 2]",624.2499158382416,59,5,0,0,0,0
pairwise,"[1, 2]",624.2904307842255,59,6,0,0,0,0
pairwise,"[1, 2]",624.3266978263855,59,7,0,0,0,0
pairwise,"[1, 2]",624.4443728923798,60,0,0,0,0,0
pairwise,"[1, 2]",643.5617337226868,60,3,0,0,0,0
pairwise,"[1, 2]",643.5949256420135,60,4,0,0,0,0
pairwise,"[1, 2]",643.6290040016174,60,5,0,0,0,0
pairwise,"[1, 2]",643.6703407764435,60,7,0,0,0,0
pairwise,"[1, 2]",643.8503167629242,61,3,0,0,0,0
pairwise,"[1, 2]",643.9314386844635,61,8,0,0,0,0
pairwise,"[1, 2]",644.1039447784424,62,0,0,0,0,0
pairwise,"[1, 2]",644.1525478363037,62,2,0,0,0,0
pairwise,"[1, 2]",644.1942729949951,62,3,0,0,0,0
pairwise,"[1, 2]",644.2323179244995,62,4,0,0,0,0
pairwise,"[1, 2]",644.2665019035339,62,5,0,0,0,0
pairwise,"[1, 2]",644.3034307956696,62,6,0,0,0,0
pairwise,"[1, 2]",644.3548359870911,62,8,0,0,0,0
pairwise,"[1, 2]",644.6705179214478,63,0,0,0,0,0
pairwise,"[1, 2]",644.7073836326599,63,1,0,0,0,0
pairwise,"[1, 2]",644.7463057041168,63,3,0,0,0,0
pairwise,"[1, 2]",644.8020389080048,63,5,0,0,0,0
pairwise,"[1, 2]",644.8407738208771,63,6,0,0,0,0
pairwise,"[1, 2]",644.8759918212891,63,7,0,0,0,0
pairwise,"[1, 2]",644.9115319252014,63,9,0,0,0,0
pairwise,"[1, 2]",644.956506729126,63,10,0,0,0,0
pairwise,"[1, 2]",645.1579346656799,64,2,0,0,0,0
pairwise,"[1, 2]",645.188307762146,64,3,0,0,0,0
pairwise,"[1, 2]",645.2271149158478,64,4,0,0,0,0
pairwise,"[1, 2]",645.2671258449554,64,5,0,0,0,0
pairwise,"[1, 2]",645.3093776702881,64,6,0,0,0,0
pairwise,"[1, 2]",645.5595037937164,65,1,0,0,0,0
pairwise,"[1, 2]",645.6034679412842,65,2,0,0,0,0
pairwise,"[1, 2]",645.6392126083374,65,3,0,0,0,0
