Chunk_size,Chunk_Overlap,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
100,0,2.898422956466675,1,0,0,0,0,0,0
100,0,2.863409996032715,2,0,0,0.041666666666666664,1.0,0.07999999999999999,0
100,0,2.0085041522979736,3,0,0,0.6666666666666666,1.0,0.8,0
100,0,2.131718873977661,4,0,0,0,0,0,0
100,0,1.8767931461334229,5,0,0,0,0,0,0
100,0,2.2351577281951904,6,0,0,0,0,0,0
100,0,1.8045313358306885,7,0,1,1.0,1.0,1.0,0
100,0,1.9371540546417236,8,0,0,0,0,0,0
100,0,1.842756986618042,9,0,0,0,0,0,0
100,0,2.098358154296875,10,0,0,0,0,0,0
100,0,2.0253560543060303,11,0,0,0.2727272727272727,1.0,0.42857142857142855,0
100,0,1.9769232273101807,12,0,0,0.5,1.0,0.6666666666666666,0
100,0,2.04314923286438,13,0,0,0,0,0,0
100,0,2.349199056625366,14,0,0,0.7777777777777778,0.875,0.823529411764706,0
100,0,1.8250248432159424,15,0,0,0.5,0.3333333333333333,0.4,0
100,0,2.077589988708496,16,0,0,0,0,0,0
100,0,1.802217960357666,17,0,0,0,0,0,0
100,0,2.057201862335205,18,0,0,0.5,1.0,0.6666666666666666,0
100,0,2.483335256576538,19,0,0,0.6666666666666666,1.0,0.8,0
100,0,2.0469439029693604,20,0,0,0,0,0,0
100,0,1.754500150680542,21,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
100,0,1.7386558055877686,22,0,0,0,0,0,0
100,0,1.8417012691497803,23,0,0,0,0,0,0
100,0,4.979405164718628,24,0,0,0.0196078431372549,0.16666666666666666,0.03508771929824561,0
100,0,2.260071039199829,25,0,0,0,0,0,0
100,0,2.1935458183288574,26,0,0,0,0,0,0
100,0,2.0050649642944336,27,0,0,0,0,0,0
100,0,2.041091203689575,28,0,0,0,0,0,0
100,0,1.8619167804718018,29,0,0,0,0,0,0
100,0,2.0549421310424805,30,0,0,0,0,0,0
100,0,1.8588178157806396,31,0,0,0.6666666666666666,1.0,0.8,0
100,0,1.9019949436187744,32,0,0,0,0,0,0
100,0,2.484161615371704,33,0,0,0,0,0,0
100,0,4.321347951889038,34,0,0,0,0,0,0
100,0,1.9526700973510742,35,0,0,0,0,0,0
100,0,1.740062952041626,36,0,0,0.5,1.0,0.6666666666666666,0
100,0,2.325759172439575,37,0,0,0,0,0,0
100,0,2.0946929454803467,38,0,0,0,0,0,0
100,0,1.9932830333709717,39,0,0,0.8,0.8,0.8000000000000002,0
100,0,2.0525288581848145,40,0,0,0.3333333333333333,0.5,0.4,0
100,0,3.6709539890289307,41,0,0,0,0,0,0
100,0,2.1765830516815186,42,0,0,0,0,0,0
100,0,1.7783172130584717,43,0,0,0,0,0,0
100,0,2.1071457862854004,44,0,0,0.5,1.0,0.6666666666666666,0
100,0,2.0128729343414307,45,0,0,0.3333333333333333,1.0,0.5,0
100,0,1.7622489929199219,46,0,0,0,0,0,0
100,0,1.9039630889892578,47,0,0,0,0,0,0
100,0,2.0639700889587402,48,0,0,0,0,0,0
100,0,1.858091115951538,49,0,0,0,0,0,0
100,0,3.417229175567627,50,0,0,0,0,0,0
100,0,2.065920114517212,51,0,0,0,0,0,0
100,0,1.8453688621520996,52,0,0,0.5,0.5,0.5,0
100,0,4.153351068496704,53,0,0,0,0,0,0
100,0,1.9564871788024902,54,0,0,0,0,0,0
