Chunk_size,Chunk_Overlap,Dist_Func,Top_N,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
50,0,cosine,2,836.4422740936279,18,7,0,0.3888888888888889,1.0,0.56,0
50,0,cosine,2,846.8707499504089,18,8,0,0.06944444444444445,1.0,0.12987012987012989,0
50,0,cosine,2,858.7430090904236,19,8,0,0.3333333333333333,1.0,0.5,0
50,0,cosine,2,868.0388629436493,20,2,0,0.25,1.0,0.4,0
50,0,cosine,2,876.2088451385498,20,4,0,0,0,0,0
50,0,cosine,2,885.7206928730011,20,7,0,0.25,0.058823529411764705,0.09523809523809523,0
50,0,cosine,2,893.8697419166565,21,1,0,0,0,0,0
50,0,cosine,2,904.9570889472961,33,5,0,0,0,0,0
50,0,cosine,2,916.9941561222076,34,2,0,0,0,0,0
50,0,cosine,2,927.9218907356262,34,7,0,0,0,0,0
50,0,cosine,2,937.0473170280457,36,1,0,0.21428571428571427,1.0,0.35294117647058826,0
50,0,cosine,2,948.9370408058167,36,12,0,0,0,0,0
50,0,cosine,2,957.3128929138184,37,4,0,0,0,0,0
50,0,cosine,2,965.4017758369446,37,8,0,0,0,0,0
50,0,cosine,2,976.6622128486633,38,6,0,0,0,0,0
50,0,cosine,2,984.6563651561737,38,8,0,0,0,0,0
50,0,cosine,2,994.0448100566864,39,1,0,0,0,0,0
50,0,cosine,2,1004.3371987342834,40,2,0,0,0,0,0
50,0,cosine,2,1014.5819978713989,43,2,0,0,0,0,0
50,0,cosine,2,1023.9081339836121,43,5,0,0,0,0,0
50,0,cosine,2,1035.0465137958527,44,7,0,0,0,0,0
50,0,cosine,2,1044.3299269676208,45,4,0,0,0,0,0
50,0,cosine,2,1056.0920560359955,48,0,0,0,0,0,0
50,0,cosine,2,1068.3312368392944,48,6,0,0,0,0,0
50,0,cosine,2,1080.727784872055,49,4,0,0,0,0,0
50,0,cosine,2,1092.5466079711914,49,7,0,0,0,0,0
50,0,cosine,4,1100.7627389431,0,0,1,1.0,1.0,1.0,0
50,0,cosine,4,1109.180999994278,0,1,0,0,0,0,0
50,0,cosine,4,1117.6826770305634,0,2,0,0,0,0,0
50,0,cosine,4,1126.1640887260437,0,5,0,0,0,0,0
50,0,cosine,4,1134.3232986927032,0,6,0,0,0,0,0
50,0,cosine,4,1142.571043729782,0,8,1,1.0,1.0,1.0,0
50,0,cosine,4,1148.5204627513885,5,2,0,0,0,0,0
50,0,cosine,4,1153.0237760543823,5,7,0,0,0,0,0
50,0,cosine,4,1161.8704929351807,7,4,0,0,0,0,0
50,0,cosine,4,1171.3681848049164,7,7,0,0,0,0,0
50,0,cosine,4,1179.8856167793274,7,10,0,0,0,0,0
50,0,cosine,4,1188.536861896515,7,11,0,0,0,0,0
50,0,cosine,4,1197.2287638187408,8,5,0,0,0,0,0
50,0,cosine,4,1207.270439863205,9,0,0,0,0,0,0
50,0,cosine,4,1218.355870962143,10,0,0,0,0,0,0
50,0,cosine,4,1228.0136399269104,11,2,0,0,0,0,0
